season,date,batting_team
,2012-05-23,Chennai Super Kings
,,Mumbai Indians
,2012-05-25,Chennai Super Kings
,,Delhi Daredevils
,2012-05-27,Chennai Super Kings
,,Kolkata Knight Riders
2013,2013-04-03,Delhi Daredevils
,,Kolkata Knight Riders
,2013-04-04,Mumbai Indians
,,Royal Challengers Bangalore
,2013-04-05,Pune Warriors
,,Sunrisers Hyderabad
,2013-04-06,Chennai Super Kings
,,Delhi Daredevils
,,Mumbai Indians
,,Rajasthan Royals
,2013-04-07,Kings XI Punjab
,,Pune Warriors
,,Royal Challengers Bangalore
,,Sunrisers Hyderabad
,2013-04-08,Kolkata Knight Riders
,,Rajasthan Royals
,2013-04-09,Delhi Daredevils
,,Mumbai Indians
,,Royal Challengers Bangalore
,,Sunrisers Hyderabad
,2013-04-10,Chennai Super Kings
,,Kings XI Punjab
,2013-04-11,Kolkata Knight Riders
,,Pune Warriors
,,Rajasthan Royals
,,Royal Challengers Bangalore
,2013-04-12,Delhi Daredevils
,,Sunrisers Hyderabad
,2013-04-13,Chennai Super Kings
,,Mumbai Indians
,,Pune Warriors
,,Royal Challengers Bangalore
,2013-04-14,Kings XI Punjab
,,Kolkata Knight Riders
,,Rajasthan Royals
,,Sunrisers Hyderabad
,2013-04-15,Chennai Super Kings
,,Pune Warriors
,2013-04-16,Delhi Daredevils
,,Kings XI Punjab
,,Kolkata Knight Riders
,,Royal Challengers Bangalore
,2013-04-17,Mumbai Indians
,,Pune Warriors
,,Rajasthan Royals
,,Sunrisers Hyderabad
,2013-04-18,Chennai Super Kings
,,Delhi Daredevils
,2013-04-19,Kings XI Punjab
,,Sunrisers Hyderabad
,2013-04-20,Chennai Super Kings
,,Kolkata Knight Riders
,,Rajasthan Royals
,,Royal Challengers Bangalore
,2013-04-21,Delhi Daredevils
,,Kings XI Punjab
,,Mumbai Indians
,,Pune Warriors
,2013-04-22,Chennai Super Kings
,,Rajasthan Royals
,2013-04-23,Delhi Daredevils
,,Kings XI Punjab
,,Pune Warriors
,,Royal Challengers Bangalore
,2013-04-24,Kolkata Knight Riders
,,Mumbai Indians
,2013-04-25,Chennai Super Kings
,,Sunrisers Hyderabad
,2013-04-26,Kings XI Punjab
,,Kolkata Knight Riders
,2013-04-27,Mumbai Indians
,,Rajasthan Royals
,,Royal Challengers Bangalore
,,Sunrisers Hyderabad
,2013-04-28,Chennai Super Kings
,,Delhi Daredevils
,,Kolkata Knight Riders
,,Pune Warriors
,2013-04-29,Kings XI Punjab
,,Mumbai Indians
,,Rajasthan Royals
,,Royal Challengers Bangalore
,2013-04-30,Chennai Super Kings
,,Pune Warriors
,2013-05-01,Delhi Daredevils
,,Kolkata Knight Riders
,,Mumbai Indians
,,Sunrisers Hyderabad
,2013-05-02,Chennai Super Kings
,,Kings XI Punjab
,,Pune Warriors
,,Royal Challengers Bangalore
,2013-05-03,Kolkata Knight Riders
,,Rajasthan Royals
,2013-05-04,Delhi Daredevils
,,Sunrisers Hyderabad
,2013-05-05,Chennai Super Kings
,,Mumbai Indians
,,Pune Warriors
,,Rajasthan Royals
,2013-05-06,Kings XI Punjab
,,Royal Challengers Bangalore
,2013-05-07,Delhi Daredevils
,,Kolkata Knight Riders
,,Mumbai Indians
,,Rajasthan Royals
,2013-05-08,Chennai Super Kings
,,Sunrisers Hyderabad
,2013-05-09,Kings XI Punjab
,,Kolkata Knight Riders
,,Pune Warriors
,,Rajasthan Royals
,2013-05-10,Delhi Daredevils
,,Royal Challengers Bangalore
,2013-05-11,Kings XI Punjab
,,Mumbai Indians
,,Pune Warriors
,,Sunrisers Hyderabad
,2013-05-12,Chennai Super Kings
,,Kolkata Knight Riders
,,Rajasthan Royals
,,Royal Challengers Bangalore
,2013-05-13,Mumbai Indians
,,Sunrisers Hyderabad
,2013-05-14,Chennai Super Kings
,,Delhi Daredevils
,,Kings XI Punjab
,,Royal Challengers Bangalore
,2013-05-15,Kolkata Knight Riders
,,Mumbai Indians
,,Pune Warriors
,,Rajasthan Royals
,2013-05-16,Delhi Daredevils
,,Kings XI Punjab
,2013-05-17,Rajasthan Royals
,,Sunrisers Hyderabad
,2013-05-18,Chennai Super Kings
,,Kings XI Punjab
,,Mumbai Indians
,,Royal Challengers Bangalore
,2013-05-19,Delhi Daredevils
,,Kolkata Knight Riders
,,Pune Warriors
,,Sunrisers Hyderabad
,2013-05-21,Chennai Super Kings
,,Mumbai Indians
,2013-05-22,Rajasthan Royals
,,Sunrisers Hyderabad
,2013-05-24,Mumbai Indians
,,Rajasthan Royals
,2013-05-26,Chennai Super Kings
,,Mumbai Indians
2014,2014-04-16,Kolkata Knight Riders
,,Mumbai Indians
,2014-04-17,Delhi Daredevils
,,Royal Challengers Bangalore
,2014-04-18,Chennai Super Kings
,,Kings XI Punjab
,,Rajasthan Royals
,,Sunrisers Hyderabad
,2014-04-19,Delhi Daredevils
,,Kolkata Knight Riders
,,Mumbai Indians
,,Royal Challengers Bangalore
,2014-04-20,Kings XI Punjab
,,Rajasthan Royals
,2014-04-21,Chennai Super Kings
,,Delhi Daredevils
,2014-04-22,Kings XI Punjab
,,Sunrisers Hyderabad
,2014-04-23,Chennai Super Kings
,,Rajasthan Royals
,2014-04-24,Kolkata Knight Riders
,,Royal Challengers Bangalore
,2014-04-25,Chennai Super Kings
,,Delhi Daredevils
,,Mumbai Indians
,,Sunrisers Hyderabad
,2014-04-26,Kings XI Punjab
,,Kolkata Knight Riders
,,Rajasthan Royals
,,Royal Challengers Bangalore
,2014-04-27,Chennai Super Kings
,,Delhi Daredevils
,,Mumbai Indians
,,Sunrisers Hyderabad
,2014-04-28,Kings XI Punjab
,,Royal Challengers Bangalore
,2014-04-29,Kolkata Knight Riders
,,Rajasthan Royals
,2014-04-30,Mumbai Indians
,,Sunrisers Hyderabad
,2014-05-02,Chennai Super Kings
,,Kolkata Knight Riders
,2014-05-03,Delhi Daredevils
,,Kings XI Punjab
,,Mumbai Indians
,,Rajasthan Royals
,2014-05-04,Royal Challengers Bangalore
,,Sunrisers Hyderabad
,2014-05-05,Chennai Super Kings
,,Delhi Daredevils
,,Kolkata Knight Riders
,,Rajasthan Royals
,2014-05-06,Mumbai Indians
,,Royal Challengers Bangalore
,2014-05-07,Chennai Super Kings
,,Delhi Daredevils
,,Kings XI Punjab
,,Kolkata Knight Riders
,2014-05-08,Rajasthan Royals
,,Sunrisers Hyderabad
,2014-05-09,Kings XI Punjab
,,Royal Challengers Bangalore
,2014-05-10,Chennai Super Kings
,,Delhi Daredevils
,,Mumbai Indians
,,Sunrisers Hyderabad
,2014-05-11,Kings XI Punjab
,,Kolkata Knight Riders
,,Rajasthan Royals
,,Royal Challengers Bangalore
,2014-05-12,Mumbai Indians
,,Sunrisers Hyderabad
,2014-05-13,Chennai Super Kings
,,Delhi Daredevils
,,Rajasthan Royals
,,Royal Challengers Bangalore
,2014-05-14,Kings XI Punjab
,,Kolkata Knight Riders
,,Mumbai Indians
,,Sunrisers Hyderabad
,2014-05-15,Delhi Daredevils
,,Rajasthan Royals
,2014-05-18,Chennai Super Kings
,,Kolkata Knight Riders
,,Royal Challengers Bangalore
,,Sunrisers Hyderabad
,2014-05-19,Delhi Daredevils
,,Kings XI Punjab
,,Mumbai Indians
,,Rajasthan Royals
,2014-05-20,Chennai Super Kings
,,Kolkata Knight Riders
,,Royal Challengers Bangalore
,,Sunrisers Hyderabad
,2014-05-21,Kings XI Punjab
,,Mumbai Indians
,2014-05-22,Chennai Super Kings
,,Kolkata Knight Riders
,,Royal Challengers Bangalore
,,Sunrisers Hyderabad
,2014-05-23,Delhi Daredevils
,,Kings XI Punjab
,,Mumbai Indians
,,Rajasthan Royals
,2014-05-24,Chennai Super Kings
,,Kolkata Knight Riders
,,Royal Challengers Bangalore
,,Sunrisers Hyderabad
,2014-05-25,Delhi Daredevils
,,Kings XI Punjab
,,Mumbai Indians
,,Rajasthan Royals
,2014-05-27,Kings XI Punjab
,,Kolkata Knight Riders
,2014-05-28,Chennai Super Kings
,,Mumbai Indians
,2014-05-30,Chennai Super Kings
,,Kings XI Punjab
,2014-06-01,Kings XI Punjab
,,Kolkata Knight Riders
2015,2015-04-08,Kolkata Knight Riders
,,Mumbai Indians
,2015-04-09,Chennai Super Kings
,,Delhi Daredevils
,2015-04-10,Kings XI Punjab
,,Rajasthan Royals
,2015-04-11,Chennai Super Kings
,,Kolkata Knight Riders
,,Royal Challengers Bangalore
,,Sunrisers Hyderabad
,2015-04-12,Delhi Daredevils
,,Kings XI Punjab
,,Mumbai Indians
,,Rajasthan Royals
,2015-04-13,Royal Challengers Bangalore
,,Sunrisers Hyderabad
,2015-04-14,Mumbai Indians
,,Rajasthan Royals
,2015-04-15,Delhi Daredevils
,,Kings XI Punjab
,2015-04-16,Rajasthan Royals
,,Sunrisers Hyderabad
,2015-04-17,Chennai Super Kings
,,Mumbai Indians
,2015-04-18,Delhi Daredevils
,,Kings XI Punjab
,,Kolkata Knight Riders
,,Sunrisers Hyderabad
,2015-04-19,Chennai Super Kings
,,Mumbai Indians
,,Rajasthan Royals
,,Royal Challengers Bangalore
,2015-04-20,Delhi Daredevils
,,Kolkata Knight Riders
,2015-04-21,Kings XI Punjab
,,Rajasthan Royals
,2015-04-22,Chennai Super Kings
,,Kolkata Knight Riders
,,Royal Challengers Bangalore
,,Sunrisers Hyderabad
,2015-04-23,Delhi Daredevils
,,Mumbai Indians
,2015-04-24,Rajasthan Royals
,,Royal Challengers Bangalore
